id,contributors,day,score,temperature_deviation,temperature_trend_deviation,timestamp
8bf26b10-203b-46d8-a1f1-dd3af0c22a5a,"{'activity_balance': 91, 'body_temperature': 100, 'hrv_balance': 96, 'previous_day_activity': 81, 'previous_night': 64, 'recovery_index': 71, 'resting_heart_rate': 96, 'sleep_balance': 68}",11/27/2023,81,0.05,-0.04,2023-11-27T00:00:00+00:00
5ca0eff0-bf3b-4f55-abe5-3102a3b4c241,"{'activity_balance': 83, 'body_temperature': 97, 'hrv_balance': 97, 'previous_day_activity': 82, 'previous_night': 76, 'recovery_index': 83, 'resting_heart_rate': 79, 'sleep_balance': 81}",11/28/2023,83,0.09,0.09,2023-11-28T00:00:00+00:00
e14f2b22-2a7a-49f3-b70d-95a8a2b52aed,"{'activity_balance': 89, 'body_temperature': 100, 'hrv_balance': 97, 'previous_day_activity': 78, 'previous_night': 80, 'recovery_index': 100, 'resting_heart_rate': 54, 'sleep_balance': 75}",11/29/2023,81,-0.05,0.1,2023-11-29T00:00:00+00:00
51595bd5-d249-4bf4-adba-47cc0bd383a8,"{'activity_balance': 89, 'body_temperature': 100, 'hrv_balance': 97, 'previous_day_activity': 84, 'previous_night': 72, 'recovery_index': 100, 'resting_heart_rate': 64, 'sleep_balance': 74}",11/30/2023,82,-0.05,0.04,2023-11-30T00:00:00+00:00
c07cacd0-3aef-4f0e-a1e2-a340ada70c99,"{'activity_balance': 88, 'body_temperature': 100, 'hrv_balance': 88, 'previous_day_activity': 82, 'previous_night': 76, 'recovery_index': 100, 'resting_heart_rate': 81, 'sleep_balance': 81}",12/1/2023,85,0,0.04,2023-12-01T00:00:00+00:00
8eca76fd-bc4a-458f-af36-a9b130fdc8de,"{'activity_balance': 82, 'body_temperature': 97, 'hrv_balance': 94, 'previous_day_activity': 85, 'previous_night': 76, 'recovery_index': 95, 'resting_heart_rate': 65, 'sleep_balance': 73}",12/2/2023,81,0.1,0.02,2023-12-02T00:00:00+00:00
a33dd5d7-ff8c-46c3-b0bc-375b87fe7642,"{'activity_balance': 88, 'body_temperature': 66, 'hrv_balance': 86, 'previous_day_activity': 81, 'previous_night': 65, 'recovery_index': 100, 'resting_heart_rate': 49, 'sleep_balance': 86}",12/3/2023,71,0.47,0.17,2023-12-03T00:00:00+00:00
dd7d33e0-52b7-4b1e-ab24-7626bd5ba497,"{'activity_balance': 85, 'body_temperature': 100, 'hrv_balance': 88, 'previous_day_activity': 86, 'previous_night': 67, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 77}",12/4/2023,86,0.07,0.05,2023-12-04T00:00:00+00:00
edb002cf-38c2-4470-a0f1-bbc4a7c96918,"{'activity_balance': 83, 'body_temperature': 100, 'hrv_balance': 94, 'previous_day_activity': 85, 'previous_night': 79, 'recovery_index': 95, 'resting_heart_rate': 100, 'sleep_balance': 78}",12/5/2023,88,0.01,0.14,2023-12-05T00:00:00+00:00
a1624b86-6b60-40cf-a5b0-9b1c7c19da48,"{'activity_balance': 83, 'body_temperature': 100, 'hrv_balance': 94, 'previous_day_activity': 77, 'previous_night': 63, 'recovery_index': 73, 'resting_heart_rate': 100, 'sleep_balance': 64}",12/6/2023,80,-0.15,0.15,2023-12-06T00:00:00+00:00
bdfcd9ba-6ac9-4192-a738-7ac27627aaf2,"{'activity_balance': 86, 'body_temperature': 100, 'hrv_balance': 93, 'previous_day_activity': 82, 'previous_night': 67, 'recovery_index': 92, 'resting_heart_rate': 100, 'sleep_balance': 71}",12/7/2023,84,-0.11,0.01,2023-12-07T00:00:00+00:00
8d48223c-1a45-4e23-9d54-fec4437ba1d8,"{'activity_balance': 81, 'body_temperature': 100, 'hrv_balance': 97, 'previous_day_activity': 74, 'previous_night': 62, 'recovery_index': 93, 'resting_heart_rate': 100, 'sleep_balance': 67}",12/8/2023,82,-0.07,-0.02,2023-12-08T00:00:00+00:00
f1c6c06d-e4fb-435c-bcd8-f992d39f36ff,"{'activity_balance': 89, 'body_temperature': 99, 'hrv_balance': 94, 'previous_day_activity': 83, 'previous_night': 64, 'recovery_index': 92, 'resting_heart_rate': 96, 'sleep_balance': 61}",12/9/2023,82,-0.18,-0.12,2023-12-09T00:00:00+00:00
24b318ec-b2d8-4145-b55e-eea498dcad88,"{'activity_balance': 81, 'body_temperature': 100, 'hrv_balance': 97, 'previous_day_activity': 78, 'previous_night': 78, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 68}",12/10/2023,86,-0.07,-0.06,2023-12-10T00:00:00+00:00
6880880a-d617-4d44-8c3d-620b73914938,"{'activity_balance': 92, 'body_temperature': 100, 'hrv_balance': 96, 'previous_day_activity': 84, 'previous_night': 67, 'recovery_index': 100, 'resting_heart_rate': 99, 'sleep_balance': 61}",12/11/2023,85,0,-0.03,2023-12-11T00:00:00+00:00
1d9bf19d-153d-4d4a-9c32-3596ffe35c94,"{'activity_balance': 88, 'body_temperature': 100, 'hrv_balance': 99, 'previous_day_activity': 82, 'previous_night': 63, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 64}",12/12/2023,85,-0.02,-0.06,2023-12-12T00:00:00+00:00
8759a533-0a3f-4adc-aaf6-3ac7645c7729,"{'activity_balance': 85, 'body_temperature': 100, 'hrv_balance': 100, 'previous_day_activity': 70, 'previous_night': 71, 'recovery_index': 81, 'resting_heart_rate': 43, 'sleep_balance': 61}",12/13/2023,73,-0.02,-0.01,2023-12-13T00:00:00+00:00
2eb7ac76-f387-4f88-8220-7cc0ac290a9a,"{'activity_balance': 95, 'body_temperature': 100, 'hrv_balance': 100, 'previous_day_activity': 84, 'previous_night': 74, 'recovery_index': 77, 'resting_heart_rate': 100, 'sleep_balance': 74}",12/14/2023,86,0.03,0.03,2023-12-14T00:00:00+00:00
18351d1e-0793-4339-a6d1-53b2ee1f5197,"{'activity_balance': 95, 'body_temperature': 100, 'hrv_balance': 100, 'previous_day_activity': 89, 'previous_night': 70, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 63}",12/15/2023,87,-0.02,0,2023-12-15T00:00:00+00:00
64c74a4f-2dac-4d0a-b2a7-9141558ceccb,"{'activity_balance': 91, 'body_temperature': 100, 'hrv_balance': 100, 'previous_day_activity': 84, 'previous_night': 71, 'recovery_index': 100, 'resting_heart_rate': 100, 'sleep_balance': 72}",12/16/2023,88,0.05,0.04,2023-12-16T00:00:00+00:00
60553836-e692-44e8-83d6-6900d750e8ee,"{'activity_balance': 94, 'body_temperature': 99, 'hrv_balance': 100, 'previous_day_activity': 83, 'previous_night': 69, 'recovery_index': 99, 'resting_heart_rate': 99, 'sleep_balance': 72}",12/17/2023,88,0.08,0.06,2023-12-17T00:00:00+00:00
bdc352ef-5e15-4e70-9709-530bce9d5a7f,"{'activity_balance': 96, 'body_temperature': 100, 'hrv_balance': 95, 'previous_day_activity': 83, 'previous_night': 76, 'recovery_index': 100, 'resting_heart_rate': 99, 'sleep_balance': 77}",12/18/2023,89,-0.04,0.01,2023-12-18T00:00:00+00:00
a6d9044d-e9e1-4bc7-b50b-3a058e2f0eed,"{'activity_balance': 97, 'body_temperature': 100, 'hrv_balance': 100, 'previous_day_activity': 90, 'previous_night': 79, 'recovery_index': 100, 'resting_heart_rate': 91, 'sleep_balance': 79}",12/19/2023,90,0,0.06,2023-12-19T00:00:00+00:00
7f162271-9135-4a85-a634-0c787bda1419,"{'activity_balance': 96, 'body_temperature': 100, 'hrv_balance': 94, 'previous_day_activity': 88, 'previous_night': 60, 'recovery_index': 100, 'resting_heart_rate': 82, 'sleep_balance': 78}",12/20/2023,85,-0.02,0.03,2023-12-20T00:00:00+00:00
60c3a591-d813-4ac3-81e2-6ac780fdfb0f,"{'activity_balance': 85, 'body_temperature': 100, 'hrv_balance': 93, 'previous_day_activity': 35, 'previous_night': 63, 'recovery_index': 100, 'resting_heart_rate': 66, 'sleep_balance': 82}",12/21/2023,77,-0.13,-0.04,2023-12-21T00:00:00+00:00
